title,artist,track_id
All of Me,John Legend,spotify:track:3U4isOIWM3VvDubwSI3y7a
F**kin' Perfect,Pink,spotify:track:37Veo3TsREFZKvfZ0CaI4S
Let U Go,Ashley Parker Angel,
Fresh AZIMIZ,"[u'Bow Wow', u'J-Kwon', u'Jermaine Dupri']",spotify:track:7DYjzYtHHQExgtzgY04ZDc
Baby It's You,JoJo,
'03 Bonnie & Clyde,"[u'Jay-Z', u'Beyonc\xe9']",
Fast Forward,Jaicko,
Obsession,"[u'Frankie J', u'Baby Bash']",spotify:track:6LpYKfPDviJJDWNDOrtnoA
Get the Party Started/Sweet Dreams,"[u'Pink', u'Redman']",spotify:track:4bk78jvK8Fe9YHqruOJW0v
Shut the Front Door,Tiffany Dunn,
Sugarhigh,Jade Anderson,
This Summer's Gonna Hurt Like a Mother...,Maroon 5,spotify:track:5uVji14OWpj9HMKLXdhjAv
Be in Love Tonight,Toy Connor,
Everybody's Free,Baz Luhrmann,spotify:track:1TQ6a2NEA8LmKfgf0yeBvT
I Care 4 U,Aaliyah,
Don't Trust Me,3OH!3,
This or That,Jacob Latimore,
I Believe,Basic Vacation,
Poisoned with Love,Neon Hitch,
Thinking for a While,Andrew Grant,
AM to PM,Christina Milian,
"Me, Myself & I",JIVEjones,
Get Yourself Back Home,"[u'Gym Class Heroes', u'Neon Hitch']",
Independent Women Part I,Destiny's Child,spotify:track:69XUpOpjzDKcfdxqZebGiI
F**kin' Perfect,Pink,
Fresh AZIMIZ,"[u'Bow Wow', u'J-Kwon', u'Jermaine Dupri']",
Obsession,"[u'Frankie J', u'Baby Bash']",
Get the Party Started/Sweet Dreams,"[u'Pink', u'Redman']",
This Summer's Gonna Hurt Like a Mother...,Maroon 5,
Everybody's Free,Baz Luhrmann,
Independent Women Part I,Destiny's Child,
